1_1,1,1,62.38
1_10,1,10,62.35
1_100,1,100,61.15
1_1000,1,1000,59.59
1_1001,1,1001,59.66
1_1002,1,1002,59.75
1_1003,1,1003,59.77
1_1004,1,1004,59.73
1_1005,1,1005,59.82
1_1006,1,1006,59.94
1_1007,1,1007,59.91
1_1008,1,1008,59.88
1_1009,1,1009,59.8
1_101,1,101,61.15
1_1010,1,1010,59.8
1_1011,1,1011,59.84
1_1012,1,1012,59.85
1_1013,1,1013,59.91
1_1014,1,1014,59.92
1_102,1,102,61.3
1_103,1,103,61.17
1_104,1,104,61.15
1_105,1,105,61.21
1_106,1,106,61.21
1_107,1,107,61.17
1_108,1,108,61.3
1_109,1,109,61.32
1_1093,1,1093,56.45
1_1094,1,1094,56.33
1_1095,1,1095,56.47
1_1096,1,1096,56.42
1_1097,1,1097,56.52
1_1098,1,1098,56.56
1_1099,1,1099,56.65
1_11,1,11,62.41
1_110,1,110,61.27
1_1100,1,1100,56.67
1_1101,1,1101,56.91
1_1102,1,1102,56.9
1_1103,1,1103,57.02
1_1104,1,1104,56.99
1_1105,1,1105,57.02
1_1106,1,1106,57.02
1_1107,1,1107,57.1
1_1108,1,1108,56.96
1_1109,1,1109,56.9
1_111,1,111,61.26
1_1110,1,1110,56.98
1_1111,1,1111,57.03
1_1112,1,1112,57.22
1_1113,1,1113,57.24
1_1114,1,1114,57.05
1_1115,1,1115,57.11
1_1116,1,1116,57.18
1_1117,1,1117,57.06
1_1118,1,1118,56.87
1_1119,1,1119,57.04
1_112,1,112,61.3
1_1120,1,1120,57.0
1_1121,1,1121,56.95
1_1122,1,1122,56.9
1_1123,1,1123,56.98
1_1124,1,1124,56.93
1_1125,1,1125,56.92
1_1126,1,1126,56.89
1_1127,1,1127,56.82
1_1128,1,1128,56.79
1_1129,1,1129,56.79
1_113,1,113,61.3
1_1130,1,1130,56.85
1_1131,1,1131,56.91
1_1132,1,1132,56.88
1_1133,1,1133,56.86
1_1134,1,1134,56.99
1_1135,1,1135,56.97
1_1136,1,1136,56.85
1_1137,1,1137,56.83
1_1138,1,1138,56.83
1_1139,1,1139,56.87
1_114,1,114,61.31
1_1140,1,1140,56.95
1_1141,1,1141,56.91
1_1142,1,1142,57.0
1_1143,1,1143,56.99
1_1144,1,1144,57.02
